ID	style	col	sample
CNCH-JCB_CN-0010	Asia	Asia	Asia
CNCH-LEI_CN-0004	Asia	Asia	Asia
CNCH-LEI_CN-0003	Asia	Asia	Asia
CNCH-LEI_CN-0002	Asia	Asia	Asia
CNCH-LEI_CN-0001	Asia	Asia	Asia
CNCH-LEI_CN-0005	Asia	Asia	Asia
CNCH-LIA_CN-0005	Asia	Asia	Asia
CNCH-LIA_CN-0004	Asia	Asia	Asia
CNCH-SAA_CN-0002	Asia	Asia	Asia
CNCH-SAA_CN-0001	Asia	Asia	Asia
CNCH-SAA_CN-0004	Asia	Asia	Asia
CNCH-SAA_CN-0003	Asia	Asia	Asia
CNCH-LIA_CN-0001	Asia	Asia	Asia
CNCH-SAA_CN-0005	Asia	Asia	Asia
CNCH-LIA_CN-0003	Asia	Asia	Asia
CNCH-LIA_CN-0002	Asia	Asia	Asia
CNCH-CAS_CN-0009	Asia	Asia	Asia
CNCH-CAS_CN-0010	Asia	Asia	Asia
CNCH-CAS_CN-0011	Asia	Asia	Asia
CNCH-CAS_CN-0012	Asia	Asia	Asia
CNCH-CAS_CN-0013	Asia	Asia	Asia
CNCH-CAS_CN-0014	Asia	Asia	Asia
CNCH-CAS_CN-0015	Asia	Asia	Asia
CNCH-CAS_CN-0016	Asia	Asia	Asia
CNCH-CAS_CN-0017	Asia	Asia	Asia
CNCH-CAS_CN-0018	Asia	Asia	Asia
CNCH-CAS_CN-0019	Asia	Asia	Asia
INCH-CAS_IN-0001	Asia	Asia	Asia
BDCH-BDG_BD-0006	Asia	Asia	Asia
BDCH-BDG_BD-0004	Asia	Asia	Asia
BDCH-BDG_BD-0001	Asia	Asia	Asia
BDCH-BDG_BD-0002	Asia	Asia	Asia
BDCH-BDG_BD-0007	Asia	Asia	Asia
AUCH-BOE_AU-0023	Oceania	Oceania	Oceania
AUCH-BOE_AU-0025	Oceania	Oceania	Oceania
AUCH-BOE_AU-0032	Oceania	Oceania	Oceania
AUCH-BOE_AU-0034	Oceania	Oceania	Oceania
AUCH-UNK_AU-0038	Oceania	Oceania	Oceania
AUCH-CAS_AU-0002	Oceania	Oceania	Oceania
AUCH-CAS_AU-0007	Oceania	Oceania	Oceania
AUCH-CAS_AU-0012	Oceania	Oceania	Oceania
AUCH-CAS_AU-0021	Oceania	Oceania	Oceania
AUCH-CAS_AU-0029	Oceania	Oceania	Oceania
AUCH-CAS_AU-0038	Oceania	Oceania	Oceania
AUCH-CAS_AU-0040	Oceania	Oceania	Oceania
AUCH-BOE_AU-9420	Oceania	Oceania	Oceania
AUCH-BOE_AU-0439	Oceania	Oceania	Oceania
AUCH-CAS_AU-1040	Oceania	Oceania	Oceania
AUCH-UNK_AU-1000	Oceania	Oceania	Oceania
AUCH-UNK_AU-2000	Oceania	Oceania	Oceania
NZCH-BOE_NZ-0293	Oceania	Oceania	Oceania
NZCH-BOE_NZ-0295	Oceania	Oceania	Oceania
NZCH-BOE_NZ-0297	Oceania	Oceania	Oceania
NZCH-BOE_NZ-0298	Oceania	Oceania	Oceania
NZCH-BOE_NZ-0300	Oceania	Oceania	Oceania
NZCH-BOE_NZ-0303	Oceania	Oceania	Oceania
NZCH-BOE_NZ-0304	Oceania	Oceania	Oceania
NZCH-BOE_NZ-0306	Oceania	Oceania	Oceania
FRCH-CRE_FR-0003	America	America	America
FRCH-CRE_FR-0013	America	America	America
FRCH-CRE_FR-0014	America	America	America
FRCH-CRE_FR-0015	America	America	America
FRCH-CRE_FR-0016	America	America	America
FRCH-CRE_FR-0017	America	America	America
FRCH-CRE_FR-0018	America	America	America
FRCH-CRE_FR-0019	America	America	America
FRCH-CRE_FR-0020	America	America	America
FRCH-CRE_FR-0021	America	America	America
FRCH-CRE_FR-0022	America	America	America
FRCH-CRE_FR-0023	America	America	America
FRCH-CRE_FR-0024	America	America	America
FRCH-CRE_FR-0025	America	America	America
FRCH-CRE_FR-0026	America	America	America
FRCH-UNK_FR-0027	America	America	America
TRCA-BEZ_TR-0010	Turkey - Bezoar	Turkey - Bezoar	Turkey - Bezoar
TRCA-BEZ_TR-0011	Turkey - Bezoar	Turkey - Bezoar	Turkey - Bezoar
TRCA-BEZ_TR-0012	Turkey - Bezoar	Turkey - Bezoar	Turkey - Bezoar
TRCA-BEZ_TR-0013	Turkey - Bezoar	Turkey - Bezoar	Turkey - Bezoar
TRCA-BEZ_TR-0015	Turkey - Bezoar	Turkey - Bezoar	Turkey - Bezoar
TRCA-BEZ_TR-0016	Turkey - Bezoar	Turkey - Bezoar	Turkey - Bezoar
TRCA-BEZ_TR-0018	Turkey - Bezoar	Turkey - Bezoar	Turkey - Bezoar
TRCA-BEZ_TR-0019	Turkey - Bezoar	Turkey - Bezoar	Turkey - Bezoar
TRCA-BEZ_TR-0020	Turkey - Bezoar	Turkey - Bezoar	Turkey - Bezoar
TRCA-BEZ_TR-0021	Turkey - Bezoar	Turkey - Bezoar	Turkey - Bezoar
BFCH-DJA_BF-0012	Africa	Africa	Africa
ETCH-ABR_ET-0002	Africa	Africa	Africa
ETCH-ABR_ET-0010	Africa	Africa	Africa
ETCH-ABR_ET-0015	Africa	Africa	Africa
ETCH-ABR_ET-0017	Africa	Africa	Africa
ETCH-ABR_ET-0032	Africa	Africa	Africa
ETCH-UNK_ET-0036	Africa	Africa	Africa
ETCH-ABR_ET-0038	Africa	Africa	Africa
ETCH-ABR_ET-0041	Africa	Africa	Africa
ETCH-ABR_ET-0050	Africa	Africa	Africa
ETCH-GUM_ET-0004	Africa	Africa	Africa
ETCH-GUM_ET-0005	Africa	Africa	Africa
ETCH-GUM_ET-0008	Africa	Africa	Africa
ETCH-UNK_ET-0009	Africa	Africa	Africa
ETCH-UNK_ET-0015	Africa	Africa	Africa
ETCH-GUM_ET-0030	Africa	Africa	Africa
ETCH-GUM_ET-0035	Africa	Africa	Africa
ETCH-UNK_ET-0041	Africa	Africa	Africa
ETCH-KEF_ET-0006	Africa	Africa	Africa
ETCH-KEF_ET-0008	Africa	Africa	Africa
ETCH-KEF_ET-0016	Africa	Africa	Africa
ETCH-KEF_ET-0027	Africa	Africa	Africa
ETCH-KEF_ET-0030	Africa	Africa	Africa
ETCH-KEF_ET-0034	Africa	Africa	Africa
ETCH-KEF_ET-0036	Africa	Africa	Africa
ETCH-KEF_ET-0044	Africa	Africa	Africa
ETCH-WYG_ET-0010	Africa	Africa	Africa
ETCH-WYG_ET-0013	Africa	Africa	Africa
ETCH-WYG_ET-0016	Africa	Africa	Africa
ETCH-WYG_ET-0018	Africa	Africa	Africa
ETCH-WYG_ET-0022	Africa	Africa	Africa
ETCH-WYG_ET-0023	Africa	Africa	Africa
ETCH-WYG_ET-0027	Africa	Africa	Africa
ETCH-WYG_ET-0039	Africa	Africa	Africa
KECH-GAL_KE-0004	Africa	Africa	Africa
KECH-GAL_KE-0006	Africa	Africa	Africa
KECH-GAL_KE-0008	Africa	Africa	Africa
KECH-GAL_KE-0013	Africa	Africa	Africa
KECH-GAL_KE-0014	Africa	Africa	Africa
KECH-GAL_KE-0019	Africa	Africa	Africa
KECH-GAL_KE-0020	Africa	Africa	Africa
KECH-GAL_KE-0025	Africa	Africa	Africa
KECH-SEA_KE-0005	Africa	Africa	Africa
KECH-SEA_KE-0010	Africa	Africa	Africa
KECH-SEA_KE-0012	Africa	Africa	Africa
KECH-SEA_KE-0023	Africa	Africa	Africa
KECH-SEA_KE-0028	Africa	Africa	Africa
KECH-SEA_KE-0029	Africa	Africa	Africa
KECH-SEA_KE-0031	Africa	Africa	Africa
KECH-TOG_KE-0001	Africa	Africa	Africa
MGCH-AND_MG-0002	Africa	Africa	Africa
MGCH-AND_MG-0004	Africa	Africa	Africa
MGCH-AND_MG-0005	Africa	Africa	Africa
MGCH-AND_MG-0006	Africa	Africa	Africa
MGCH-UNK_MG-0007	Africa	Africa	Africa
MGCH-ANG_MG-0027	Africa	Africa	Africa
MGCH-ANG_MG-0028	Africa	Africa	Africa
MGCH-ANG_MG-0029	Africa	Africa	Africa
MGCH-ANG_MG-0030	Africa	Africa	Africa
MGCH-ANG_MG-0031	Africa	Africa	Africa
MGCH-ANG_MG-0033	Africa	Africa	Africa
MGCH-DIA_MG-0002	Africa	Africa	Africa
MGCH-DIA_MG-0004	Africa	Africa	Africa
MGCH-DIA_MG-0006	Africa	Africa	Africa
MGCH-DIA_MG-0007	Africa	Africa	Africa
MGCH-DIA_MG-0011	Africa	Africa	Africa
MGCH-UNK_MG-0014	Africa	Africa	Africa
MGCH-DIA_MG-0016	Africa	Africa	Africa
MGCH-DIA_MG-0017	Africa	Africa	Africa
MGCH-MEN_MG-0001	Africa	Africa	Africa
MGCH-MEN_MG-0002	Africa	Africa	Africa
MGCH-MEN_MG-0005	Africa	Africa	Africa
MGCH-MEN_MG-0006	Africa	Africa	Africa
MGCH-MEN_MG-0007	Africa	Africa	Africa
MGCH-MEN_MG-0012	Africa	Africa	Africa
MGCH-MEN_MG-0014	Africa	Africa	Africa
MGCH-MEN_MG-0018	Africa	Africa	Africa
MGCH-SOF_MG-0005	Africa	Africa	Africa
MGCH-SOF_MG-0007	Africa	Africa	Africa
MGCH-SOF_MG-0008	Africa	Africa	Africa
MGCH-SOF_MG-0013	Africa	Africa	Africa
MGCH-SOF_MG-0014	Africa	Africa	Africa
MGCH-SOF_MG-0020	Africa	Africa	Africa
MGCH-SOF_MG-0023	Africa	Africa	Africa
MGCH-SOF_MG-0024	Africa	Africa	Africa
MGCH-SOU_MG-0001	Africa	Africa	Africa
MGCH-SOU_MG-0002	Africa	Africa	Africa
MGCH-SOU_MG-0003	Africa	Africa	Africa
MGCH-SOU_MG-0004	Africa	Africa	Africa
MGCH-SOU_MG-0006	Africa	Africa	Africa
MGCH-SOU_MG-0007	Africa	Africa	Africa
MGCH-SOU_MG-0008	Africa	Africa	Africa
MGCH-SOU_MG-0010	Africa	Africa	Africa
MLCH-GUE_ML-0008	Africa	Africa	Africa
MLCH-GUE_ML-0012	Africa	Africa	Africa
MLCH-GUE_ML-0014	Africa	Africa	Africa
MLCH-GUE_ML-0016	Africa	Africa	Africa
MLCH-GUE_ML-0017	Africa	Africa	Africa
MLCH-GUE_ML-0019	Africa	Africa	Africa
MLCH-GUE_ML-0023	Africa	Africa	Africa
MLCH-GUE_ML-0024	Africa	Africa	Africa
MLCH-MAU_ML-0001	Africa	Africa	Africa
MLCH-MAU_ML-0011	Africa	Africa	Africa
MLCH-MAU_ML-0012	Africa	Africa	Africa
MLCH-MAU_ML-0014	Africa	Africa	Africa
MLCH-NAI_ML-0003	Africa	Africa	Africa
MLCH-NAI_ML-0004	Africa	Africa	Africa
MLCH-NAI_ML-0009	Africa	Africa	Africa
MLCH-NAI_ML-0010	Africa	Africa	Africa
MLCH-NAI_ML-0011	Africa	Africa	Africa
MLCH-NAI_ML-0013	Africa	Africa	Africa
MLCH-NAI_ML-0015	Africa	Africa	Africa
MLCH-NAI_ML-0016	Africa	Africa	Africa
MLCH-PEU_ML-0001	Africa	Africa	Africa
MLCH-PEU_ML-0014	Africa	Africa	Africa
MLCH-PEU_ML-0016	Africa	Africa	Africa
MLCH-PEU_ML-0020	Africa	Africa	Africa
MLCH-SDN_ML-0001	Africa	Africa	Africa
MLCH-SDN_ML-0002	Africa	Africa	Africa
MLCH-SDN_ML-0003	Africa	Africa	Africa
MLCH-SDN_ML-0009	Africa	Africa	Africa
MLCH-SDN_ML-0010	Africa	Africa	Africa
MLCH-SDN_ML-0011	Africa	Africa	Africa
MLCH-SDN_ML-0017	Africa	Africa	Africa
MLCH-SDN_ML-0024	Africa	Africa	Africa
MLCH-TAR_ML-0002	Africa	Africa	Africa
MLCH-TAR_ML-0005	Africa	Africa	Africa
MLCH-TAR_ML-0012	Africa	Africa	Africa
MLCH-TAR_ML-0014	Africa	Africa	Africa
MACH-UNK_MA-2195	Africa	Africa	Africa
MACH-UNK_MA-2174	Africa	Africa	Africa
MACH-UNK_MA-2031	Africa	Africa	Africa
MACH-UNK_MA-2034	Africa	Africa	Africa
MACH-UNK_MA-2026	Africa	Africa	Africa
MACH-UNK_MA-2152	Africa	Africa	Africa
MACH-UNK_MA-2181	Africa	Africa	Africa
MACH-UNK_MA-2160	Africa	Africa	Africa
MACH-UNK_MA-2167	Africa	Africa	Africa
MACH-UNK_MA-1343	Africa	Africa	Africa
MACH-UNK_MA-1355	Africa	Africa	Africa
MACH-UNK_MA-1324	Africa	Africa	Africa
MACH-UNK_MA-1309	Africa	Africa	Africa
MACH-UNK_MA-0366	Africa	Africa	Africa
MACH-UNK_MA-0425	Africa	Africa	Africa
MACH-UNK_MA-0440	Africa	Africa	Africa
MACH-UNK_MA-1367	Africa	Africa	Africa
MACH-UNK_MA-1351	Africa	Africa	Africa
MACH-UNK_MA-1315	Africa	Africa	Africa
MACH-UNK_MA-3100	Africa	Africa	Africa
MACH-UNK_MA-0379	Africa	Africa	Africa
MACH-UNK_MA-0350	Africa	Africa	Africa
MACH-UNK_MA-0418	Africa	Africa	Africa
MACH-UNK_MA-0443	Africa	Africa	Africa
MACH-UNK_MA-1370	Africa	Africa	Africa
MACH-UNK_MA-1264	Africa	Africa	Africa
